No,Tanggal,Sopir,Plat Nomor,Order,Volume (L),Pemasukan,Pengeluaran,Jenis Transaksi,Jumlah,Keterangan
189.0,2024-08-02,Pak Slamet,H 2222 BB,Perbaikan Ban,8400.0,0.0,50235.0,Pengeluaran,-50235.0,Biaya perbaikan ban
190.0,2024-08-02,Pak Slamet,H 3333 CC,Depot Tirta Jaya,8000.0,333968.0,0.0,Pemasukan,333968.0,Pembayaran lunas
191.0,2024-08-03,Pak Slamet,H 3333 CC,Cuci Truk,8400.0,0.0,147494.0,Pengeluaran,-147494.0,Biaya cuci truk
192.0,2024-08-03,Pak Dedi,H 5678 XY,Warung Bu Darmi,10000.0,368045.0,0.0,Pemasukan,368045.0,Pembayaran lunas
193.0,2024-08-03,Pak Hendra,H 4444 DD,Perbaikan Ban,8400.0,0.0,132972.0,Pengeluaran,-132972.0,Biaya perbaikan ban
194.0,2024-08-03,Pak Slamet,H 5678 XY,Toko Maju Jaya,10000.0,359366.0,0.0,Pemasukan,359366.0,Pembayaran lunas
195.0,2024-08-04,Pak Slamet,H 4444 DD,Servis Mesin,8400.0,0.0,167526.0,Pengeluaran,-167526.0,Biaya servis mesin
196.0,2024-08-04,Pak Rudi,H 1111 AA,Toko Sumber Rejeki,10000.0,318147.0,0.0,Pemasukan,318147.0,Pembayaran lunas
197.0,2024-08-04,Pak Hendra,H 2222 BB,Warung Makan Sari Rasa,6000.0,367166.0,0.0,Pemasukan,367166.0,Pembayaran lunas
198.0,2024-08-04,Pak Dedi,H 2222 BB,Warung Lesehan Berkah,8000.0,369964.0,0.0,Pemasukan,369964.0,Pembayaran lunas
199.0,2024-08-05,Pak Hendra,H 4444 DD,Warung Bu Darmi,10000.0,395278.0,0.0,Pemasukan,395278.0,Pembayaran lunas
200.0,2024-08-05,Pak Hendra,H 1111 AA,Warung Makan Sari Rasa,8000.0,370110.0,0.0,Pemasukan,370110.0,Pembayaran lunas
201.0,2024-08-05,Pak Eko,H 4444 DD,Depot Air Sehat,8000.0,380315.0,0.0,Pemasukan,380315.0,Pembayaran lunas
202.0,2024-08-06,Pak Andi,H 1234 CD,Toko Maju Jaya,8000.0,378650.0,0.0,Pemasukan,378650.0,Pembayaran lunas
203.0,2024-08-06,Pak Budi,H 2222 BB,Toko Sumber Rejeki,8000.0,339741.0,0.0,Pemasukan,339741.0,Pembayaran lunas
204.0,2024-08-06,Pak Slamet,H 1111 AA,Depot Air Segar,10000.0,352540.0,0.0,Pemasukan,352540.0,Pembayaran lunas
205.0,2024-08-06,Pak Joko,H 1111 AA,Warung Makan Sari Rasa,8000.0,351260.0,0.0,Pemasukan,351260.0,Pembayaran lunas
206.0,2024-08-07,Pak Joko,H 1111 AA,Depot Air Sehat,8000.0,371816.0,0.0,Pemasukan,371816.0,Pembayaran lunas
207.0,2024-08-07,Pak Slamet,H 4444 DD,Perbaikan Ban,8400.0,0.0,202398.0,Pengeluaran,-202398.0,Biaya perbaikan ban
208.0,2024-08-07,Pak Dedi,H 4444 DD,Warung Makan Sari Rasa,10000.0,286797.0,0.0,Pemasukan,286797.0,Pembayaran lunas
209.0,2024-08-08,Pak Joko,H 1234 CD,Isi Solar,8400.0,0.0,128034.0,Pengeluaran,-128034.0,Biaya isi solar
210.0,2024-08-08,Pak Slamet,H 1111 AA,Toko Maju Jaya,6000.0,289724.0,0.0,Pemasukan,289724.0,Pembayaran lunas
211.0,2024-08-08,Pak Andi,H 4444 DD,Perbaikan Ban,8400.0,0.0,213409.0,Pengeluaran,-213409.0,Biaya perbaikan ban
212.0,2024-08-08,Pak Joko,H 1234 CD,Ganti Oli,8400.0,0.0,161145.0,Pengeluaran,-161145.0,Biaya ganti oli
213.0,2024-08-09,Pak Slamet,H 2222 BB,Cuci Truk,8400.0,0.0,248747.0,Pengeluaran,-248747.0,Biaya cuci truk
214.0,2024-08-09,Pak Rudi,H 1111 AA,Depot Tirta Jaya,8000.0,321210.0,0.0,Pemasukan,321210.0,Pembayaran lunas
215.0,2024-08-10,Pak Rudi,H 4444 DD,Ganti Oli,8400.0,0.0,96530.0,Pengeluaran,-96530.0,Biaya ganti oli
216.0,2024-08-10,Pak Rudi,H 4444 DD,Depot Air Segar,6000.0,321221.0,0.0,Pemasukan,321221.0,Pembayaran lunas
217.0,2024-08-11,Pak Budi,H 1111 AA,Cuci Truk,8400.0,0.0,162662.0,Pengeluaran,-162662.0,Biaya cuci truk
218.0,2024-08-11,Pak Hendra,H 2222 BB,Depot Air Segar,8000.0,285644.0,0.0,Pemasukan,285644.0,Pembayaran lunas
219.0,2024-08-11,Pak Joko,H 5678 XY,Warung Lesehan Berkah,10000.0,290452.0,0.0,Pemasukan,290452.0,Pembayaran lunas
220.0,2024-08-11,Pak Joko,H 1111 AA,Depot Tirta Jaya,6000.0,335381.0,0.0,Pemasukan,335381.0,Pembayaran lunas
221.0,2024-08-12,Pak Budi,H 4444 DD,Warung Bu Darmi,8000.0,302061.0,0.0,Pemasukan,302061.0,Pembayaran lunas
222.0,2024-08-12,Pak Dedi,H 1234 CD,Depot Air Segar,6000.0,337770.0,0.0,Pemasukan,337770.0,Pembayaran lunas
223.0,2024-08-13,Pak Rudi,H 5678 XY,Depot Air Segar,6000.0,391778.0,0.0,Pemasukan,391778.0,Pembayaran lunas
224.0,2024-08-13,Pak Rudi,H 5678 XY,Depot Air Sehat,8000.0,367154.0,0.0,Pemasukan,367154.0,Pembayaran lunas
225.0,2024-08-13,Pak Dedi,H 2222 BB,Toko Maju Jaya,6000.0,369649.0,0.0,Pemasukan,369649.0,Pembayaran lunas
226.0,2024-08-13,Pak Dedi,H 4444 DD,Depot Tirta Jaya,10000.0,375902.0,0.0,Pemasukan,375902.0,Pembayaran lunas
227.0,2024-08-14,Pak Dedi,H 3333 CC,Depot Air Segar,8000.0,357112.0,0.0,Pemasukan,357112.0,Pembayaran lunas
228.0,2024-08-14,Pak Eko,H 1111 AA,Warung Makan Sari Rasa,8000.0,350998.0,0.0,Pemasukan,350998.0,Pembayaran lunas
229.0,2024-08-14,Pak Slamet,H 3333 CC,Ganti Oli,8400.0,0.0,237996.0,Pengeluaran,-237996.0,Biaya ganti oli
230.0,2024-08-14,Pak Joko,H 5678 XY,Isi Solar,8400.0,0.0,92580.0,Pengeluaran,-92580.0,Biaya isi solar
231.0,2024-08-15,Pak Rudi,H 4444 DD,Warung Bu Darmi,10000.0,328005.0,0.0,Pemasukan,328005.0,Pembayaran lunas
232.0,2024-08-15,Pak Joko,H 5678 XY,Depot Air Sehat,6000.0,306222.0,0.0,Pemasukan,306222.0,Pembayaran lunas
233.0,2024-08-16,Pak Rudi,H 1234 CD,Depot Tirta Jaya,8000.0,334728.0,0.0,Pemasukan,334728.0,Pembayaran lunas
234.0,2024-08-16,Pak Andi,H 3333 CC,Warung Bu Darmi,8000.0,295977.0,0.0,Pemasukan,295977.0,Pembayaran lunas
235.0,2024-08-17,Pak Hendra,H 4444 DD,Isi Solar,8400.0,0.0,169186.0,Pengeluaran,-169186.0,Biaya isi solar
236.0,2024-08-17,Pak Dedi,H 3333 CC,Depot Tirta Jaya,8000.0,341765.0,0.0,Pemasukan,341765.0,Pembayaran lunas
237.0,2024-08-17,Pak Eko,H 5678 XY,Warung Bu Darmi,8000.0,366351.0,0.0,Pemasukan,366351.0,Pembayaran lunas
238.0,2024-08-18,Pak Budi,H 1234 CD,Depot Air Sehat,8000.0,304440.0,0.0,Pemasukan,304440.0,Pembayaran lunas
239.0,2024-08-18,Pak Dedi,H 3333 CC,Warung Makan Sari Rasa,10000.0,330557.0,0.0,Pemasukan,330557.0,Pembayaran lunas
240.0,2024-08-19,Pak Joko,H 1111 AA,Warung Lesehan Berkah,8000.0,383871.0,0.0,Pemasukan,383871.0,Pembayaran lunas
241.0,2024-08-19,Pak Hendra,H 2222 BB,Depot Tirta Jaya,8000.0,344300.0,0.0,Pemasukan,344300.0,Pembayaran lunas
242.0,2024-08-20,Pak Slamet,H 3333 CC,Depot Air Sehat,6000.0,367074.0,0.0,Pemasukan,367074.0,Pembayaran lunas
243.0,2024-08-20,Pak Dedi,H 1234 CD,Warung Makan Sari Rasa,8000.0,347355.0,0.0,Pemasukan,347355.0,Pembayaran lunas
244.0,2024-08-20,Pak Andi,H 1234 CD,Isi Solar,8400.0,0.0,225249.0,Pengeluaran,-225249.0,Biaya isi solar
245.0,2024-08-20,Pak Hendra,H 4444 DD,Depot Air Segar,6000.0,340085.0,0.0,Pemasukan,340085.0,Pembayaran lunas
246.0,2024-08-21,Pak Andi,H 1234 CD,Depot Air Sehat,6000.0,292800.0,0.0,Pemasukan,292800.0,Pembayaran lunas
247.0,2024-08-21,Pak Budi,H 4444 DD,Cuci Truk,8400.0,0.0,64662.0,Pengeluaran,-64662.0,Biaya cuci truk
248.0,2024-08-21,Pak Joko,H 4444 DD,Warung Lesehan Berkah,6000.0,384314.0,0.0,Pemasukan,384314.0,Pembayaran lunas
249.0,2024-08-21,Pak Joko,H 1111 AA,Cuci Truk,8400.0,0.0,246063.0,Pengeluaran,-246063.0,Biaya cuci truk
250.0,2024-08-22,Pak Rudi,H 3333 CC,Toko Sumber Rejeki,10000.0,387012.0,0.0,Pemasukan,387012.0,Pembayaran lunas
251.0,2024-08-22,Pak Joko,H 5678 XY,Toko Sumber Rejeki,8000.0,374198.0,0.0,Pemasukan,374198.0,Pembayaran lunas
252.0,2024-08-22,Pak Slamet,H 3333 CC,Toko Maju Jaya,6000.0,311952.0,0.0,Pemasukan,311952.0,Pembayaran lunas
253.0,2024-08-22,Pak Andi,H 5678 XY,Ganti Oli,8400.0,0.0,60081.0,Pengeluaran,-60081.0,Biaya ganti oli
254.0,2024-08-23,Pak Hendra,H 4444 DD,Toko Sumber Rejeki,10000.0,392177.0,0.0,Pemasukan,392177.0,Pembayaran lunas
255.0,2024-08-23,Pak Slamet,H 1234 CD,Depot Air Segar,6000.0,322278.0,0.0,Pemasukan,322278.0,Pembayaran lunas
256.0,2024-08-23,Pak Joko,H 2222 BB,Depot Tirta Jaya,8000.0,386872.0,0.0,Pemasukan,386872.0,Pembayaran lunas
257.0,2024-08-24,Pak Andi,H 1111 AA,Perbaikan Ban,8400.0,0.0,61808.0,Pengeluaran,-61808.0,Biaya perbaikan ban
258.0,2024-08-24,Pak Slamet,H 3333 CC,Depot Tirta Jaya,8000.0,364393.0,0.0,Pemasukan,364393.0,Pembayaran lunas
259.0,2024-08-24,Pak Joko,H 1234 CD,Toko Sumber Rejeki,6000.0,324286.0,0.0,Pemasukan,324286.0,Pembayaran lunas
260.0,2024-08-24,Pak Rudi,H 2222 BB,Cuci Truk,8400.0,0.0,62078.0,Pengeluaran,-62078.0,Biaya cuci truk
261.0,2024-08-25,Pak Andi,H 5678 XY,Servis Mesin,8400.0,0.0,150039.0,Pengeluaran,-150039.0,Biaya servis mesin
262.0,2024-08-25,Pak Rudi,H 5678 XY,Cuci Truk,8400.0,0.0,62082.0,Pengeluaran,-62082.0,Biaya cuci truk
263.0,2024-08-26,Pak Rudi,H 2222 BB,Depot Air Segar,8000.0,393976.0,0.0,Pemasukan,393976.0,Pembayaran lunas
264.0,2024-08-26,Pak Rudi,H 3333 CC,Ganti Oli,8400.0,0.0,57899.0,Pengeluaran,-57899.0,Biaya ganti oli
265.0,2024-08-27,Pak Slamet,H 1234 CD,Warung Bu Darmi,8000.0,348483.0,0.0,Pemasukan,348483.0,Pembayaran lunas
266.0,2024-08-27,Pak Dedi,H 5678 XY,Perbaikan Ban,8400.0,0.0,198368.0,Pengeluaran,-198368.0,Biaya perbaikan ban
267.0,2024-08-28,Pak Rudi,H 1234 CD,Ganti Oli,8400.0,0.0,97231.0,Pengeluaran,-97231.0,Biaya ganti oli
268.0,2024-08-28,Pak Hendra,H 1111 AA,Depot Tirta Jaya,8000.0,321888.0,0.0,Pemasukan,321888.0,Pembayaran lunas
269.0,2024-08-29,Pak Budi,H 1234 CD,Cuci Truk,8400.0,0.0,230774.0,Pengeluaran,-230774.0,Biaya cuci truk
270.0,2024-08-29,Pak Hendra,H 2222 BB,Toko Maju Jaya,6000.0,391255.0,0.0,Pemasukan,391255.0,Pembayaran lunas
271.0,2024-08-29,Pak Eko,H 3333 CC,Depot Tirta Jaya,8000.0,367051.0,0.0,Pemasukan,367051.0,Pembayaran lunas
272.0,2024-08-29,Pak Budi,H 5678 XY,Warung Makan Sari Rasa,8000.0,392590.0,0.0,Pemasukan,392590.0,Pembayaran lunas
273.0,2024-08-30,Pak Dedi,H 4444 DD,Depot Air Segar,10000.0,332390.0,0.0,Pemasukan,332390.0,Pembayaran lunas
274.0,2024-08-30,Pak Dedi,H 3333 CC,Depot Tirta Jaya,8000.0,364951.0,0.0,Pemasukan,364951.0,Pembayaran lunas
275.0,2024-08-31,Pak Joko,H 4444 DD,Warung Makan Sari Rasa,6000.0,368038.0,0.0,Pemasukan,368038.0,Pembayaran lunas
276.0,2024-08-31,Pak Eko,H 3333 CC,Warung Makan Sari Rasa,6000.0,285437.0,0.0,Pemasukan,285437.0,Pembayaran lunas
277.0,2024-09-01,Pak Eko,H 2222 BB,Servis Mesin,8400.0,0.0,145095.0,Pengeluaran,-145095.0,Biaya servis mesin
278.0,2024-09-01,Pak Slamet,H 1111 AA,Depot Air Segar,6000.0,351985.0,0.0,Pemasukan,351985.0,Pembayaran lunas
279.0,2024-09-01,Pak Hendra,H 4444 DD,Ganti Oli,8400.0,0.0,236421.0,Pengeluaran,-236421.0,Biaya ganti oli
280.0,2024-09-01,Pak Dedi,H 3333 CC,Toko Sumber Rejeki,6000.0,387961.0,0.0,Pemasukan,387961.0,Pembayaran lunas
281.0,2024-09-02,Pak Budi,H 2222 BB,Depot Air Segar,8000.0,298282.0,0.0,Pemasukan,298282.0,Pembayaran lunas
282.0,2024-09-02,Pak Hendra,H 1111 AA,Toko Sumber Rejeki,8000.0,300813.0,0.0,Pemasukan,300813.0,Pembayaran lunas
283.0,2024-09-03,Pak Dedi,H 1111 AA,Warung Bu Darmi,10000.0,344746.0,0.0,Pemasukan,344746.0,Pembayaran lunas
284.0,2024-09-03,Pak Joko,H 1234 CD,Depot Air Sehat,10000.0,391034.0,0.0,Pemasukan,391034.0,Pembayaran lunas
285.0,2024-09-04,Pak Andi,H 3333 CC,Cuci Truk,8400.0,0.0,62066.0,Pengeluaran,-62066.0,Biaya cuci truk
286.0,2024-09-04,Pak Budi,H 5678 XY,Toko Sumber Rejeki,10000.0,369303.0,0.0,Pemasukan,369303.0,Pembayaran lunas
287.0,2024-09-04,Pak Hendra,H 5678 XY,Depot Air Sehat,8000.0,345291.0,0.0,Pemasukan,345291.0,Pembayaran lunas
288.0,2024-09-04,Pak Slamet,H 2222 BB,Toko Maju Jaya,6000.0,378203.0,0.0,Pemasukan,378203.0,Pembayaran lunas
289.0,2024-09-05,Pak Eko,H 2222 BB,Depot Air Sehat,10000.0,396504.0,0.0,Pemasukan,396504.0,Pembayaran lunas
290.0,2024-09-05,Pak Budi,H 4444 DD,Toko Maju Jaya,6000.0,352644.0,0.0,Pemasukan,352644.0,Pembayaran lunas
291.0,2024-09-06,Pak Joko,H 1111 AA,Depot Tirta Jaya,8000.0,397064.0,0.0,Pemasukan,397064.0,Pembayaran lunas
292.0,2024-09-06,Pak Hendra,H 4444 DD,Depot Air Segar,8000.0,295095.0,0.0,Pemasukan,295095.0,Pembayaran lunas
293.0,2024-09-06,Pak Hendra,H 5678 XY,Warung Lesehan Berkah,6000.0,354874.0,0.0,Pemasukan,354874.0,Pembayaran lunas
294.0,2024-09-06,Pak Andi,H 2222 BB,Toko Sumber Rejeki,10000.0,337077.0,0.0,Pemasukan,337077.0,Pembayaran lunas
295.0,2024-09-07,Pak Joko,H 1111 AA,Isi Solar,8400.0,0.0,65913.0,Pengeluaran,-65913.0,Biaya isi solar
296.0,2024-09-07,Pak Eko,H 4444 DD,Warung Lesehan Berkah,10000.0,399127.0,0.0,Pemasukan,399127.0,Pembayaran lunas
297.0,2024-09-07,Pak Andi,H 1234 CD,Depot Air Sehat,10000.0,382213.0,0.0,Pemasukan,382213.0,Pembayaran lunas
298.0,2024-09-08,Pak Budi,H 3333 CC,Ganti Oli,8400.0,0.0,104718.0,Pengeluaran,-104718.0,Biaya ganti oli
299.0,2024-09-08,Pak Andi,H 4444 DD,Warung Makan Sari Rasa,6000.0,317295.0,0.0,Pemasukan,317295.0,Pembayaran lunas
300.0,2024-09-09,Pak Hendra,H 1111 AA,Toko Maju Jaya,6000.0,330439.0,0.0,Pemasukan,330439.0,Pembayaran lunas
301.0,2024-09-09,Pak Andi,H 1111 AA,Perbaikan Ban,8400.0,0.0,235396.0,Pengeluaran,-235396.0,Biaya perbaikan ban
302.0,2024-09-09,Pak Rudi,H 5678 XY,Warung Lesehan Berkah,8000.0,342282.0,0.0,Pemasukan,342282.0,Pembayaran lunas
303.0,2024-09-09,Pak Slamet,H 5678 XY,Depot Air Segar,10000.0,327163.0,0.0,Pemasukan,327163.0,Pembayaran lunas
304.0,2024-09-10,Pak Dedi,H 1111 AA,Warung Bu Darmi,8000.0,389855.0,0.0,Pemasukan,389855.0,Pembayaran lunas
305.0,2024-09-10,Pak Budi,H 5678 XY,Ganti Oli,8400.0,0.0,225036.0,Pengeluaran,-225036.0,Biaya ganti oli
306.0,2024-09-10,Pak Joko,H 5678 XY,Depot Air Sehat,10000.0,356481.0,0.0,Pemasukan,356481.0,Pembayaran lunas
307.0,2024-09-11,Pak Eko,H 1111 AA,Toko Sumber Rejeki,10000.0,382707.0,0.0,Pemasukan,382707.0,Pembayaran lunas
308.0,2024-09-11,Pak Eko,H 5678 XY,Warung Lesehan Berkah,8000.0,297187.0,0.0,Pemasukan,297187.0,Pembayaran lunas
309.0,2024-09-11,Pak Joko,H 3333 CC,Warung Lesehan Berkah,10000.0,322539.0,0.0,Pemasukan,322539.0,Pembayaran lunas
310.0,2024-09-11,Pak Rudi,H 1111 AA,Warung Lesehan Berkah,10000.0,305907.0,0.0,Pemasukan,305907.0,Pembayaran lunas
311.0,2024-09-12,Pak Dedi,H 3333 CC,Toko Sumber Rejeki,10000.0,374879.0,0.0,Pemasukan,374879.0,Pembayaran lunas
312.0,2024-09-12,Pak Andi,H 2222 BB,Cuci Truk,8400.0,0.0,72919.0,Pengeluaran,-72919.0,Biaya cuci truk
313.0,2024-09-13,Pak Andi,H 3333 CC,Depot Air Segar,10000.0,333846.0,0.0,Pemasukan,333846.0,Pembayaran lunas
314.0,2024-09-13,Pak Eko,H 1111 AA,Warung Bu Darmi,6000.0,396206.0,0.0,Pemasukan,396206.0,Pembayaran lunas
315.0,2024-09-14,Pak Eko,H 4444 DD,Cuci Truk,8400.0,0.0,129635.0,Pengeluaran,-129635.0,Biaya cuci truk
316.0,2024-09-14,Pak Hendra,H 1111 AA,Depot Air Segar,8000.0,307481.0,0.0,Pemasukan,307481.0,Pembayaran lunas
317.0,2024-09-14,Pak Joko,H 2222 BB,Toko Maju Jaya,10000.0,312657.0,0.0,Pemasukan,312657.0,Pembayaran lunas
318.0,2024-09-15,Pak Rudi,H 5678 XY,Depot Tirta Jaya,8000.0,313442.0,0.0,Pemasukan,313442.0,Pembayaran lunas
319.0,2024-09-15,Pak Dedi,H 3333 CC,Depot Air Sehat,10000.0,356132.0,0.0,Pemasukan,356132.0,Pembayaran lunas
320.0,2024-09-15,Pak Eko,H 2222 BB,Depot Air Sehat,8000.0,342260.0,0.0,Pemasukan,342260.0,Pembayaran lunas
321.0,2024-09-16,Pak Dedi,H 5678 XY,Toko Maju Jaya,6000.0,377472.0,0.0,Pemasukan,377472.0,Pembayaran lunas
322.0,2024-09-16,Pak Dedi,H 5678 XY,Warung Lesehan Berkah,6000.0,330854.0,0.0,Pemasukan,330854.0,Pembayaran lunas
323.0,2024-09-16,Pak Andi,H 4444 DD,Ganti Oli,8400.0,0.0,150141.0,Pengeluaran,-150141.0,Biaya ganti oli
324.0,2024-09-17,Pak Slamet,H 5678 XY,Warung Makan Sari Rasa,10000.0,386479.0,0.0,Pemasukan,386479.0,Pembayaran lunas
325.0,2024-09-17,Pak Dedi,H 2222 BB,Depot Air Sehat,6000.0,340874.0,0.0,Pemasukan,340874.0,Pembayaran lunas
326.0,2024-09-17,Pak Andi,H 3333 CC,Servis Mesin,8400.0,0.0,200663.0,Pengeluaran,-200663.0,Biaya servis mesin
327.0,2024-09-18,Pak Joko,H 3333 CC,Warung Bu Darmi,6000.0,382191.0,0.0,Pemasukan,382191.0,Pembayaran lunas
328.0,2024-09-18,Pak Andi,H 5678 XY,Warung Makan Sari Rasa,10000.0,365606.0,0.0,Pemasukan,365606.0,Pembayaran lunas
329.0,2024-09-19,Pak Eko,H 5678 XY,Perbaikan Ban,8400.0,0.0,236371.0,Pengeluaran,-236371.0,Biaya perbaikan ban
330.0,2024-09-19,Pak Dedi,H 2222 BB,Isi Solar,8400.0,0.0,50259.0,Pengeluaran,-50259.0,Biaya isi solar
331.0,2024-09-20,Pak Rudi,H #### DD,Warung Lesehan Berkah,8000.0,338660.0,0.0,Pemasukan,338660.0,Pembayaran lunas
332.0,2024-09-20,Pak Hendra,H 4444 DD,Warung Bu Darmi,8000.0,364674.0,0.0,Pemasukan,364674.0,Pembayaran lunas
333.0,2024-09-20,Pak Budi,H 2222 BB,Warung Makan Sari Rasa,6000.0,304899.0,0.0,Pemasukan,304899.0,Pembayaran lunas
334.0,2024-09-21,Pak Eko,H 1111 AA,Depot Air Segar,6000.0,364527.0,0.0,Pemasukan,364527.0,Pembayaran lunas
335.0,2024-09-21,Pak Dedi,H 4444 DD,Toko Maju Jaya,6000.0,357347.0,0.0,Pemasukan,357347.0,Pembayaran lunas
336.0,2024-09-22,Pak Slamet,H 2222 BB,Depot Air Sehat,8000.0,331670.0,0.0,Pemasukan,331670.0,Pembayaran lunas
337.0,2024-09-22,Pak Hendra,H 2222 BB,Cuci Truk,8400.0,0.0,219420.0,Pengeluaran,-219420.0,Biaya cuci truk
338.0,2024-09-22,Pak Budi,H 2222 BB,Toko Maju Jaya,8000.0,290491.0,0.0,Pemasukan,290491.0,Pembayaran lunas
339.0,2024-09-23,Pak Eko,H 5678 XY,Warung Bu Darmi,8000.0,348625.0,0.0,Pemasukan,348625.0,Pembayaran lunas
340.0,2024-09-23,Pak Eko,H 1234 CD,Cuci Truk,8400.0,0.0,136958.0,Pengeluaran,-136958.0,Biaya cuci truk
341.0,2024-09-23,Pak Hendra,H 2222 BB,Warung Makan Sari Rasa,8000.0,339801.0,0.0,Pemasukan,339801.0,Pembayaran lunas
342.0,2024-09-23,Pak Hendra,H 3333 CC,Cuci Truk,8400.0,0.0,215610.0,Pengeluaran,-215610.0,Biaya cuci truk
343.0,2024-09-24,Pak Joko,H 1234 CD,Warung Makan Sari Rasa,6000.0,380238.0,0.0,Pemasukan,380238.0,Pembayaran lunas
344.0,2024-09-24,Pak Dedi,H 1111 AA,Toko Maju Jaya,8000.0,356178.0,0.0,Pemasukan,356178.0,Pembayaran lunas
345.0,2024-09-24,Pak Budi,H 5678 XY,Depot Air Segar,10000.0,392681.0,0.0,Pemasukan,392681.0,Pembayaran lunas
346.0,2024-09-25,Pak Slamet,H 2222 BB,Warung Bu Darmi,10000.0,287015.0,0.0,Pemasukan,287015.0,Pembayaran lunas
347.0,2024-09-25,Pak Andi,H 2222 BB,Depot Tirta Jaya,6000.0,387439.0,0.0,Pemasukan,387439.0,Pembayaran lunas
348.0,2024-09-26,Pak Eko,H 1111 AA,Warung Lesehan Berkah,6000.0,394613.0,0.0,Pemasukan,394613.0,Pembayaran lunas
349.0,2024-09-26,Pak Joko,H 3333 CC,Toko Maju Jaya,10000.0,388229.0,0.0,Pemasukan,388229.0,Pembayaran lunas
350.0,2024-09-26,Pak Joko,H 1234 CD,Toko Sumber Rejeki,10000.0,298483.0,0.0,Pemasukan,298483.0,Pembayaran lunas
351.0,2024-09-27,Pak Joko,H 1111 AA,Toko Maju Jaya,6000.0,378854.0,0.0,Pemasukan,378854.0,Pembayaran lunas
352.0,2024-09-27,Pak Hendra,H 1234 CD,Warung Lesehan Berkah,10000.0,346317.0,0.0,Pemasukan,346317.0,Pembayaran lunas
353.0,2024-09-27,Pak Hendra,H 5678 XY,Servis Mesin,8400.0,0.0,56052.0,Pengeluaran,-56052.0,Biaya servis mesin
354.0,2024-09-28,Pak Andi,H 1234 CD,Toko Maju Jaya,8000.0,289756.0,0.0,Pemasukan,289756.0,Pembayaran lunas
355.0,2024-09-28,Pak Budi,H 4444 DD,Depot Air Sehat,10000.0,320837.0,0.0,Pemasukan,320837.0,Pembayaran lunas
356.0,2024-09-29,Pak Budi,H 1111 AA,Toko Maju Jaya,6000.0,303759.0,0.0,Pemasukan,303759.0,Pembayaran lunas
357.0,2024-09-29,Pak Rudi,H 1234 CD,Toko Sumber Rejeki,10000.0,371668.0,0.0,Pemasukan,371668.0,Pembayaran lunas
358.0,2024-09-29,Pak Dedi,H 3333 CC,Toko Maju Jaya,10000.0,387174.0,0.0,Pemasukan,387174.0,Pembayaran lunas
359.0,2024-09-30,Pak Hendra,H 4444 DD,Warung Bu Darmi,8000.0,360742.0,0.0,Pemasukan,360742.0,Pembayaran lunas
360.0,2024-09-30,Pak Joko,H 1111 AA,Toko Sumber Rejeki,10000.0,333497.0,0.0,Pemasukan,333497.0,Pembayaran lunas
361.0,2024-09-30,Pak Joko,H 5678 XY,Perbaikan Ban,8400.0,0.0,180152.0,Pengeluaran,-180152.0,Biaya perbaikan ban
362.0,2024-10-01,Pak Joko,H 4444 DD,Depot Tirta Jaya,8000.0,358741.0,0.0,Pemasukan,358741.0,Pembayaran lunas
363.0,2024-10-01,Pak Hendra,H 2222 BB,Toko Maju Jaya,6000.0,392368.0,0.0,Pemasukan,392368.0,Pembayaran lunas
364.0,2024-10-01,Pak Andi,H 4444 DD,Warung Makan Sari Rasa,10000.0,397801.0,0.0,Pemasukan,397801.0,Pembayaran lunas
365.0,2024-10-02,Pak Rudi,H 3333 CC,Warung Bu Darmi,8000.0,396550.0,0.0,Pemasukan,396550.0,Pembayaran lunas
366.0,2024-10-02,Pak Eko,H 3333 CC,Depot Air Segar,8000.0,333727.0,0.0,Pemasukan,333727.0,Pembayaran lunas
367.0,2024-10-02,Pak Hendra,H 4444 DD,Toko Sumber Rejeki,6000.0,348523.0,0.0,Pemasukan,348523.0,Pembayaran lunas
368.0,2024-10-02,Pak Andi,H 5678 XY,Cuci Truk,8400.0,0.0,161833.0,Pengeluaran,-161833.0,Biaya cuci truk
369.0,2024-10-03,Pak Budi,H 4444 DD,Toko Sumber Rejeki,10000.0,314300.0,0.0,Pemasukan,314300.0,Pembayaran lunas
370.0,2024-10-03,Pak Rudi,H 1234 CD,Depot Air Sehat,10000.0,351391.0,0.0,Pemasukan,351391.0,Pembayaran lunas
371.0,2024-10-03,Pak Dedi,H 2222 BB,Ganti Oli,8400.0,0.0,181625.0,Pengeluaran,-181625.0,Biaya ganti oli
372.0,2024-10-03,Pak Budi,H 4444 DD,Warung Makan Sari Rasa,6000.0,349201.0,0.0,Pemasukan,349201.0,Pembayaran lunas
373.0,2024-10-04,Pak Rudi,H 3333 CC,Depot Air Sehat,8000.0,365022.0,0.0,Pemasukan,365022.0,Pembayaran lunas
374.0,2024-10-04,Pak Dedi,H 1111 AA,Depot Tirta Jaya,10000.0,394379.0,0.0,Pemasukan,394379.0,Pembayaran lunas
375.0,2024-10-04,Pak Eko,H 3333 CC,Servis Mesin,8400.0,0.0,118655.0,Pengeluaran,-118655.0,Biaya servis mesin
376.0,2024-10-05,Pak Hendra,H 5678 XY,Ganti Oli,8400.0,0.0,108937.0,Pengeluaran,-108937.0,Biaya ganti oli
